아이디,댓글 내용
  OJe,선생님 말씀 중에 자주 반지를 만지시는 모습이 보이시네요. 어떤 심리인지 갑자기 궁금해지네요. ㅎㅎ
  귱시렁,스스로를 너무 특별하게 생각했기에 실망감이 배로됐던걸지도
  이우주,마침 방을 치우는데 이런 영상이?!?!??!?! 열심히 치울게욥 ㅎㅎ
  귀요미,"두 의사선생님들은 성공한 삶이고, 돈도 많고 하니깐 자신을 사랑하는거지..저같이 가진것도 없고 잘하는것도 없고 무시만 당하고 살면 자존감이 바닥으로 떨어질수 밖에 없어요...미래가 없는 암흑에서 헤어나오기 힘들어요..진짜 절망적이에요.  .ㅜㅜ"
  윤설미,나를 소중한 타인처럼 여겨야겠어요
  늘있던일,내가 사랑하고 좋아하는것..그것은 고양이
  쏠SSOL,제가 정신과를 방문해보려 했는데 어머니가 정신과는 약물 치료를 목적으로만 방문해야 한다고 하셔서 여쭤봅니다..!혹시 상담 받는 것을 목적으로 정신과에 방문해도 되는 걸까요..?
  사과나무,제 자신이 도저히 사랑할 수 없는 사람이면 어떡하죠?
  푹신푹신베개,"안녕하세요컨텐츠가 될지 모르겠지만 한번말씀드려요아빠가 병초기단계에도 병원을 안가시고 자신이 믿는 민간요법으로 치료하시려고하세요병원가자고 두세번말씀드리면 버럭 화를 내시고요 몇달지켜보니까 생각해보니 아빠는 병원을 잘 가지않으셨던것같아요. 당뇨랑 간, 피부암이될수있는 열성홍반이 있으신데도 불구하고요.. 당뇨수치는 본인이 관리하시다가 수치가 좀 내려가니까 ""이봐라 내가 다알아서할수있다  나 관리잘하고있다"" 라고하시던데..열성홍반은 이미 물집잡히고 난리도아닙니다. 그놈의 민간요법이랍시고 계속 불을쬐시더라고요.저희 아버지같은 경우가 그리 많진 않겠지만도대체 왜 병원을 가서 전문가들께 맡기는게 아닌, 본인이 듣고 믿는 방법들로만 치료하시려고하시는지 모르겠습니다. ..이런 분들의 심리와 설득하는 법이 있을까요?? ㅠ 제발 아신다면 컨텐츠로 만들어주셨으면좋겠어요"
  Juhee Kang,남편이 자기애성인격장애로 정신과다니고 있는데 일때문에 3~4주에 한번가고 가서 5~10분밖에 상담을 못받는데요. 정신과선생님이 저한테만 이야기해주시고 남편한테는 병명을 이야기를 안하신거 같아요. 남편이 내과의사거든요. 증상이 같이 살기 힘들만큼 심해요.아기가 18개월인데 별거를 고민중인데요  아기한테 안좋을거 같아서라도..따로 살고 싶은데.. 자기애성 인격장애 치료과정과 ..치료기간은 얼마나 걸리는지 어린 자녀에게 어떤영향을끼치는지 궁굼해요
  항시적,돈없으면 자존감도 없어짐...
  라라희,잠자는 시간 빼면 평균60년은 살아가나?이 짧은 시간나를 다독이며 어르고 달래며 알차게 보내봅시다.
  GeekP 긱피,헐 ! 잠재적 구독자.. 바로 접니다… 몰랐는데 확인해보고 안되있길래 바로 구독 눌렀네요.
  안두만,나한테 하는 것만큼 남한테 하면 난 감옥에 갔을 거임. 그렇게 생각하면 또 우울해짐...
  물2러,4:47  근데 나라는 존재가 왜 소중한지는 모르겠어요
  Starve Wolf,네 몸을 네 이웃 사랑하듯이 하라.이게 가능해야 네 이웃을 네 몸처럼 사랑하라.가 가능함.
  계혜정,저는 제 자신이 너무 싫어요.한때는 제 자신이 너무 증오스럽기도 해요.
  한정훈,성취감이 필요함.
  임진강,자존감이 없다고 해서 환자는아닌거죠
  run run,잘들어봐요 칭찬이에요 자막 겁나우끼다ㅋㅋㅋㅋ
  문문,사랑하는 존재가 없으면..
  DGgaming,ㅋㅋ계속 몸뚱아리 몸뚱아리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 의사가 무슨 ㅋㅋ자꾸 자기 몸을 몸뚱아리라고 하니까 이상하다 ㅋㅋㅋ
  박지영,1분전!!! 대박
  벼리,3:43
  라스,0:45
  HOON,다 필요없고 돈 잘 벌면된다돈 못 벌어서그래
  바신basin,"자존감 타령 그만, ㅋㅋ mbti급 유사과학"
  백호,그래서 이낙준쌤은..?
  Greta Mary,확실히 단 맛을 싫어하는 입맛인데 소주 마실 때 참이슬 후레시를 제일 먼저 찾고 그게 없다하면 진로를 마시거든요! 마지막 테스트 영상을 보니 실제로 소주에 단 맛의 차이가 큰 게 맞는 것 같아요!!! 단 맛이 너무 느껴지면 오히려 역하고 단맛이 적고 쓴 맛이 조금 나는게 오히려 깔끔하게 느껴진달까요ㅋㅋㅋ 술을 자주 마시는 입장에서 진승요정님의 의견이 신뢰가 가요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  수진,와.. 유전자에 의해서 쓴맛을 다르게 느낄 수 있군요. 나이들면 변하는 것도 진짜 그런 거라니..! 어릴 때 야채 안 먹는다고 혼난 게  억울해지는..ㅋㅋㅋ큐ㅜ 재밌고 유익한 영상 감사합니다
  셔라,"진짜 달아서 달다고 하는거였어요??ㅋㅋㅋㅋㅋㅋ 따뜻한 물에 들어가서 ""시원~~하다"" 하듯이 그런건줄 알았는데...몰랐네요ㅋㅋㅋㅋ 진짜 쓴맛 많이 느껴져욬ㅋㅋㅋㅋ"
  90ether,신입생때 소주먹으면 감기약(시럽)같아서 달다고 하는 건데 주당취급받아 억울했었거든요! 감미료 맛 싫어해서 어릴때부터 시럽말고 알약 달라고 했던 어린이였는데요ㅋㅋㅋ 생각해보니 중학교 미각에 대해 배울때 쓴맛 나는 시약 먹고 맛을 못느끼는 최후의 2인이었는데 다 유전자 때문이었나봐요!
  BUM 22,소주가 단 이유는...미친듯이 넣은 감미료.... 쓴 맛을 잘 못느끼는 사람에게는 달수 밖에 없는 구조...
  꿈마루 황상하,아... 제가 소주를 쓰고 오이랑 토마토를 써서 못먹는 이유가 유전자 때문에 그렇군요... 신기하네요 정말 신기합니다ㅎㅎ언제한번 의학적으로 무알콜 제품을 의학적으로 분석 해주시면 감사하겠습니다ㅎㅎ
  몽이.,ㅋㅋㅋㅋ 아니 맛탱이 갔.. 단호하셔ㅋㅋㅋㅋ첫잔부터 달다고 하는 사람도 있잖아요!이건 진승쌤 계실 때 하셨어야... 왜 알콜요정 진승쌤이 안계신거죠?? ㅎㅎ
  소나기,소주는 늘 달지만 알코올 향이 역해서 못먹습니다...근데 웃긴건 희석식 소주만 못마셔요ㅋㅋㅋㅋ 보드카나 전통주쪽은 또 마십니다ㅋㅋㅋㅋ
  rooks calbin,"와 제가 소주 마시면서 쓴맛을 한 번도 느끼지 못하고 아리도록 단맛만 느낀 이유가 있었네요! 옛날부터 단맛을 민감하게 느껴서 탄산음료,주스같은 음료수는 먹질 않았는데ㅋㅋㅋㅋ 개인적으로 소주는 알콜향이 역해서 싫고 위스키가 향도 풍부하고 좋더라구요. 그래도 소주 중에서 한라산이 제일 덜 달고 물에 가까운 맛이었고, 그 다음 처음처럼이 그나마 덜 달았어요ㅋㅋㅋ 참이슬은 정말 소름끼치게 달아서 못 먹습니다ㅜㅜ"
  롸콜,"20살 생일 딱 지나자마자 여러 종류의 술을 마셔봤는데 목넘김이 편한, 쓴게 덜한, 좀 더 깔끔한 정도가 다 다르더라구요ㅋㅋ 처음처럼은 가볍고 깔끔하게 마실수 있어서 지금도 제 최애 소주고.. 진로는 달큰해서 좋은데 참이슬은.. 참이슬은 너무 맛없었어요"
  가온빛,"저기있는 진로 하늘색병 소주 한번 아버지랑 같이 먹어봤는데, 저나 아버지나 둘 다 안마시다가 딱 첫잔은 달달하게 느꼈는데, 이후로는 계속 쓴맛만 났습니다. 첫잔에는 특유의 단 감미료가 민감하게 느껴지다가, 마시다보니 감미료에 적응해서 이후로 알콜쓴맛만 계속 느끼게 된게 아닐까 합니다."
  이유진,저는 채소의 은은한 단맛도 잘 느끼고 술 단맛도 잘 느끼는데ㅋㅋㅋ 어쩔 때는 술이 음료수만큼 달다고 느껴지더라구용. 이런 이유 때문이었군요!! 쉽게 풀어서 설명해주셔서 넘 잘봤습니당ㅎㅎ
  김지원,"와 채소 써서 못 먹고 오이 쓴맛 극혐하고 커피, 술은 몸이 부르르 떨릴 정도로 쓰게 느껴지는데 이게 유전자 때문이었다니.. 억울하네요 "
  you허파,오잉... 이즈백이 다른 소주들보다 끝에 알콜향?같은게 확실히 덜하긴한데 ..들어가는 성분들은 참이슬이랑 큰차이가 없다는게 신기하네요
  KIM KIM,"소주가 달게 느껴진적은 없었음ㅋㅋ덜 쓰고, 더 쓴 것만 느꼈지ㅋㅋㅋㅋㅋ무슨 손소독제,소독약 마시는 느낌임ㅋㅋㅋㅋㅋ"
  최밍밍,우와 유전자 때문이라니 신기하네요! 고수도 한국인들에게 비누맛을 느끼는 유전자가 더 많다는데 이 내용도 보고 싶어요.
  안블리,"어렸을 때부터 소주 맛이 다르게 느껴져서 친구한테 다 다르다고 구분할 수 있다하니 소주회사에서 일하는 친구가 절대 구분 못한다고 니가 다른 걸 먹어서 그냥 다른 맛이라고 하는 거라며,,,자기가 소주회사 일하니 자기 말이 맞댔는데 그 친구한테 이 영상을 보여줘야 되겠네요!"
  레몬방울,제가 성인이 되서도 술을 잘 못 먹고 커피도 못 먹어서 가족이 절 놀렸는데 이 영상으로 당당하게 말할 수 있게 됐네요!  소소하지만 유익하고 재밌는 영상 감사합니다!
  Chanjin Bak,국내 최초 '닥터들의 소주먹방'2화 기대중~~
  _ SEMiN,뇌전증이라 술 못마시는 저는 ㅃㅇ...피티쌤이 쏘주는 설탕물이라 하던데..!반?은 사실이었군여!!(언젠간 뇌전증에 대해서도 다뤄주셨으면 좋겠어요)
  EunJi Lee,"저 맥주 겁나 잘 마시는데 소주 진짜 못마셔서 맨날 놀림 당하는데 이유가 있었던거 같아서 신기합니다, 좋은 영상 감사합니다...!사실 제가 맥주는 앉은 자리에서 5-6병도 쉽게 마시는데 소주는 마시면 가끔씩 팔다리가 탱탱 붓고 심할 때에는 기도가 부어서 소주는 전혀 못 마시는데요ㅜㅠ 혹시 맥주/소주의 성분 차이로 인해 알레르기 증상이 나타날수 있는지 궁금합니다ㅎㅎ+ 참고로 막걸리 때문에 식도 부은 적은 없고, 양주 마시고 팔다리 부은적은 있습니다!"
  오동진,개인적으로는 그날 컨디션따라 맛이 달랐던거 같네요. 어떤 날은 써서 못마시겠는데 어떤 날은 또 같은 소주를 마셔도 과일주스보다 달아서 가글까지 하면서 마셔지더라고요.
  오로롱35,두분 쿵짝이 너무 귀여우세요 :) 너무 알기쉽게 설명해주셔서 재미있었어요~
  민성 김,너무 재미나네요 ㅎㅎ 제가 평소 친구들과 고민하던 논란인데 ㅎㅎ 공유해서 보겠습니다. 아 그런데 쓴맛 유전자에 관한 레퍼런스만 좀 알려주실 수 있을까요? 제가 꼭 필요해서요ㅠ
  귀엽숨댱,"와,,전 채소를 정말 좋아하는데 소주는 아예 입을 안대거든요!! 그나마 과일주나 맥주만 먹는데 이게 유전자 때문이었군용 신기하네요"
  유튜브 답글 알람 꺼놓음,소주가 같은 제품이어도 첫 잔에 쓸 때도 있고 첫 잔에 달 때도 있는데보관 방법의 문제 아닐까 저는 개인적으로 생각해봐요 ㅋㅋㅋㅋ
  고냐냐,20대초반엔 처음처럼이 무조건적으로 1순위였다가 점차 참이슬 후레시..현재 진로는 못먹진 않지만 선호하지는 않는데..20대 초반엔 단걸 무진장 좋아하다가 점차 덜 달고 담백한걸 찾게됬는데 소주맛은 이거랑 전혀 관련이 없을 줄 알았습니다..신기하네요!
  강명진,근데 진짜 환경ㅇ 변화도 술맛에 영향을 주긴 한거 같아요 ㅋㅋ 짜증나는 상사랑 일할 때는 매일 밤마다 술을 달고 살았는데 부서 바뀌고 그 상사랑 부딪힐 일이 없다보니 스트레스도 적게 받고 술 맛도 써서 안먹게 되더라구요 ㅋㅋ
  혜은,소주는 너무 많이 단데 알콜향때문에 못마시는 1인 이에요! 항상 그래서 마셔봤자 소주 반병~1병 이였고 맥주도 그 쇠맛(?) 때문에 1.5잔 이상 못마셨었는데 한번은 정말 알콜향도 좋고 너무너무 달게 마셨던적이 있는데 그때 앉은자리에서 소주 11병을 마셨죠..ㅋㅋㅋ근데 숙취가 정말 4일동안 앓아누울만큼 거하게 와서 그 이후로 술을 끊었어요ㅋㅋㅋㅋㅋㅋ 처음이자 마지막 만족스러운 음주였습니다..!ㅋㅋㅋㅋ
  5096980,원래맥주파였는데  아부지돌아가신후 언젠가부터  소주를  마시기시작했네요..ㅎㅎ술 그냥 없어서 못마시나..역류성식도염땜에 지금 2년째 금주중이랍니다..ㅜㅜ 쌤들덕분에  오늘 몰랐던사실을  알게됬네요..영상잘봤어요^^
  April,스무살때 친구랑 처음처럼이랑 참이슬을 놓고 비교했었어요ㅋㅋㅋ 확실히 맛이 다르고 향이 다르더라구요~ㅋㅋㅋ 저는 참이슬만 마십니다~ 물론 회사생활하면서는 쏘맥파가 되었답니다ㅋㅋㅋ
  6시거기,"2~3달에 한번, 아님 자주 마신다면 1달에 한번 술자리를 갖는데 그날 술이 달게 느껴지면 천천히 오래 마시고, 소주가 쓰게 느껴지는 날에는 많이 안마십니다. 그냥 그날 술이 쓰면 안맞는 날인거죠… 그리고 참이슬 후레쉬하고 진로는 확실히 맛이 달라요…"
  이엔IEN,컨디션에 따라서 입에서 단맛이 먼저 느껴지기도 하고 훅하고 알콜맛이 올라오는거 같아요. ...개인적 견해로는 피곤하고 당땡길때 단맛이 잘 느껴지는거 아닐까요?
  뚜왈기,우와 신기하다!!! 왠지 보드카를 마셨을때 너무 달아서 (설탕시럽에 100배 같았음) 쓰게 느껴졌는데 이런 이유가 있었군요ㅋㅋㅋ 차디찬 소주가 달게 느껴진 이유도 여기있네요!
  Albert D. kim,"원래 소주 1병 드시는 아는분이 갑자기 요즘 잘넘어간다면서 4병 5병 마시더니 술이 달다고 하시다가 몇달후 간암으로 돌아가셨습니다 그냥 간이 맛탱이 간가죠,,"
  윤현정,갠적으로 진로랑 청하 소주를 술 중에서 제일 좋아하는데 웬만하면 소주 먹을 때마다 달다고 느끼는 편이거든요. 심지어 라떼도 좀 진하게 먹는 걸 좋아하는데 세상에 과학이 과학하네요.
  홍더엉무,유전자 때문이였군오.. 신기하네요ㅎㅎㅎ 혹시 그럼 궁금한 점이 있는데 PAV 타입이 보편적으로 더 주량이 약할 수도 있나요? 유전자의 타입이랑 주량에 관해서 상관관계가 있는지 긍금합니다!!
  백설기,으악 맞아요..ㅋㅋㅋㅋㅋㅋㅋ 커피도 못 마시고 술은 더 못마시고...ㅠ 다들 대학생 때부터 아아 달고 산다는데 저는 태어나서 지금까지 마셔본 적 없어욬ㅋㅋㅋㅋㅋㅋㅋ 친구 거 한 모금 먹고 너무 쓰고 이상해서 지금까지 못 마심...ㅠ 이게 유전자 때문이라니...
  lulu co,인공감미료가 과연 매번 정량일지 궁굼하네요?이야기중에 감미료가 생산 주차랄까 시기마다 다르다는 이야기도 있어서요…
  객관성테스트 82,피로도에 따라 미각이 다를수 있겠네요 ㅋㅋㅋㅋ동일인물이어도 피곤하면 미각이 둔해지기 때문에 더 달다고 느낄수도 있겠네요
  fabulous,"저는 올해 스무 살이 되고 나서 부모님, 주위 친한 어른분들과 술을 처음 마셨었는데요..! 술이 쓸 거라는 선입견 때문에 그냥 환타나 마시고 말까 했지만 그래도 궁금은 하니 한 잔만 마셔보자! 하고 술을 딱 들이켰는데.. 알코올 특유의 역한 향은 둘째 치고, 맛이.. 쓰기는커녕 너무 단 거예요 ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래서 마시자마자 엥.. 소주 되게 단데요? 했다가 온 어른들께서 넌 인생이 벌써부터 그리 쓰냐, 최 씨 집안 술꾼 났네 하시면서 폭소하셨더라는.. 그런 일화가 있습니닷,,, 소주에서 쓴맛을 전혀 못 느끼기는 하지만 애초에 향도 별로고, 단 걸 그리 좋아하지 않는 탓에 소주를 좋아하진 않습니다! 아 맞다 그래서 저는 소맥 마실 때 소주의 비율이 높으면 높을수록 달다고 느껴요 허허ㅓ"
  김꾤,5년 전.. 상대론 중간고사인지 기말고사 전날 밤.. 공부하다가 친구들과 뛰쳐나가 칠성포차에서 마셨던 살얼음 낀 참이슬이 그렇게 달달했었는데요.. 그때와는 다르게 고수도 취나물 참나물 다 잘 먹는 어른이가 되었는데 ㅋㅋㅋㅋㅋ 유익한(?) 영상 보면서 이 새벽에 갬성팔이 합니다 ..
  23 IDENTITY,"개인적으로 뭔가 소주 온도에 따라서도 쓴 맛이 다르게 느껴지기도 하는 거 같아요, 처음에 차가울때는 쓴 맛이 좀 덜한거같은데, 미지근해지면서 좀 써지고,, 그냥 차가운 액체에 대해서 맛을 느끼는 게 원래 좀 둔감한 거 일수도 있고ㅋㅋ"
  a,0:46PD님은 소주가 달다니~ 단맛과 감칠맛을 느끼는 수용체가 CT형인 사람이실 수도 있겠군요.  유전자(TAS1R3)의 염기 순서가 CT형이 CC형보다 과음군에 속할 위험이 1.5배 높았고 소주를 많이 마셨다. 라고 하네요. ㅎ(이과가 찾아줬어요. 저는 문과)
  JOY YU,30대인데도 아직 편식한다고 밥상에서 자주 혼나는데 핑계거리가 생겼네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  이름,가족들끼리 외식하러갔을때 일인데 고기먹다 목이말라서 물마시려다가 소주 원샷때린 기억이 있음...진짜 오지게 쓰고 이상한 냄새나고...그 이후로 술 단 한모금도 안마심 ㅋㅋㅋㅋㅋ 대학생되서 엠티갈때 사람들 다 술마실때 나 혼자 제로콜라 사 마셨을 정도로 술 싫어하게 됐음 ㅋㅋㅋㅋㅋ
  마야,맞아 난 진짜 달게 느껴지는데 주변 사람들이 뭔가 띄우는 분위기라 얼떨떨했는데 사람마다 다 다른거였구나ㅋㅋㅋ
  핫초코 hotchoco,치과알바 했던 학생인데요..알코올로 기구 소독 했어서 그런가소주 마실 때마다 알코올솜 쥐어짠 걸 마시는 느낌 ㅋㅋㅋㅋ
  시안Cyan,맥주보다 소주가 뒷탈이 없어서 소주만 마셨는데 늘 종류마다 맛이 다른게 궁금했거든요! 첨가물이 달랐던 이유군요 ㅋㅋㅋ 달달한 날이 더 많았던 저는 쓴걸 잘 먹는 사람이구요 ㅋㅋ 크으.. 하지만 짝사랑하는 오빠가 제 친구랑 사귄 걸 알게 된 날 마신 소주는 정말이지.... 쓰고 짰어요... 
  el presidente,"근데 소주를 달게 느끼는 입장에서, 달게 느껴도 맛없는건 똑같습니다 ㅋㅋㅋ"
  티라미숙회익,아 진짜 너무 궁금했어요.. 내가 한잔 먹자마자 소주가 단 이유를 설명했던  지난날의 역사 .. 다 맞았어 ….
  김혜진,대박 어쩐지 나는 커피도 써서 못 먹고 술도 써서 못 먹었구나 심지어 오이 같은 채소도 쓴 맛이 느껴졌는데 그냥 시원하고 맛있어서 잘 먹음 ㅋㅋㅋㅋㅋ
  요플레따꿍,"저는 술자리 있는 날에 따라 쓴 정도가 또 다른거 같던데, 이게 그 술집에 있는 술이 오래될수록 더 쓰다고 하더라구요…? 이것도 일리있는 말인지 궁금하네용ㅋㅋㅋ"
  kim 3339,ㄹㅇ 그냥 소주는 입에 들어가면 표정이 자동으로 일그러짐 ㅋㅋㅋ 진짜 온몸이 거부하는 느낌이야
  김가령,대전에 지금은 이제우린 이전 O2린이라고 있었습니다 산소가 더 들어가서 숙취가 빨리 깬다나 뭐라나...진짜 겁나 쓰고 맛없어서 대전사는 애들도 참이슬을 먹었었습니다 대체 누가먹냐 하니 정말 막노동하시는 분들이 주로 먹는다 라고 하던 소주인데 소주 뒤도 함 찾아볼껄 그랬네요ㅎㅎㅎ
  사묘,뜬금없지만... 우창윤 쌤 볼 때마다 중국 배우 진비우(너를 만난 여름 위화이) 생각나요..ㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠ영화 보는데 계속 우창윤 쌤이랑 겹쳐 보여욬ㅋㅋㅋㅋㅋ묘하게 분위기가 닮으신 것 같아요..!
  아이고,평생 소주가 쓰다고 생각했는데평소 주량을 확 넘기고 약간 취기가 올랐을때 달더라구요ㅋㅋㅋ 그때 처음 달다는게 무슨말인줄 알았어요. 약간.. 고로쇠물 마시는 느낌인데... 아마 취해서 감각기관이 쓴맛을 잘 인지 못했나봐요ㅋㅋㅋ
  이상훈,원숭이두창에 대해서도 다뤄주시면 좋을거 같아요.
  용마산호랑이,"근데 저는 원래 술 안좋아했었던 사람인데대학생때 전남친한테 씨게 까인 후에 마셨을땐 엄청 달아서 놀랐거든요 ""아 이게 으른들이 말하는 술의 단맛인가 인생 쓰다~"" 이럼서ㅋㅋ지금은 술이 다시 써져서 안먹습니다그땐 원효대사 해골물마냥 내 감성이 술의 맛을 다르게 느낄수도 있을거라 막연히 생각했는데 이 영상을 보니 아마 제가 먹었던 술들이 다 다른 브랜드가 아니었을까 싶기도 하네요 ㅋㅋ지금도 술 브랜드를 잘 모릅니다"
  Ottomayer,"저도 낙준선생님처럼 소주 냄새부터 맛까지 너무 싫어합니다 그런데 그래도 청하, 청주 등은 좀 입맛에 맞습니다~!"
  Lucy,쓴맛을 민감하게 느끼는 걸수도 있지만 반대로 단맛을 예민하게 느끼는 유전자도 영향을 끼치지 않을까요? / 저는 소주를 정말 싫어하는데(써서) 아주 가아아끔 소주가 달게 느껴질 때가 있어요. 아마 소주를 즐겨마시는 분들도 유독 달게 느껴지는 날이 있을 텐데 그 주제가 없어서 아쉽 ㅠㅠ 저는 술이 진짜 약해서(맥주 350ml마시면 전신 붉어짐;;) 가끔 소주가 달고 맛있게 느껴지는 날이면 너무 신기하더라고요 ㅋ
  노성일,술을 한창 마실때와 오랜만에 마실때에 주량차이가 많이 나는 이유를 알고 싶습니다 ㅎ
  ㄴㅈㅅ,진승님! 역사 속 인물들의 정신 질환에 대해 설명해 줄 수 있나요? 사도세자가 환각이 잇엇고 은둔형 외돌이러는 설이 잇는데 정확하게 분석해 주시면 재미잇을 것 강아요
  moon blue,근데 진짜 똑같은 참이슬이고 차갑게 먹었는데 알바하고 마시는 술은 첫잔부터 달았던 기억이.. 넘 신기했어요
  불응불응,진로 마시다가 참이슬 마시면 엄청 달더라고요진로는 정말 과학실 알코올램프 그 자체같아요ㅋㅋㅋ친구들이랑도 소주는 참이슬만 마셔요
  잡식주의자-Omnivorous,저도 처음 술 먹을 때는 썼는데 지금은... 덜 쓰네요ㅋㅋㅋ..ㅋㅋㅋ 시판에 유통되는 희석식 소주도 좋아하지만 전통 소주도 좋아합니다...
  노란우산,저는 확실히 진로가 제일 달다고 느껴졌어요! 처음처럼은 조금 물탄맛?이고 참이슬은 끝이 쓰고...그래서 진로만 마셨는데 여기서 궁금한점이 있어요!분명 같은 소주 진로를 마시는데 어떤날은 하나도 안쓰고 어떤날은 엄청 쓰더라구요! 제 유전자가 쓴맛을 느끼는정도는 변하지않을텐데 왜 날에따라 다를까요??두번다 차게 한 진로를 마셨는데도요!
  hide,"다른 술에 비해 왜 이렇게 소주 맛이 싫지 싶었는데,, 인공 감미료 때문이었군요.. 유독 인공 감미료 맛을 역하게 느끼는 원인도 궁금해요ㅜㅜ 수크랄로스도 아스파탐도 스테비아도 다 역해서 제로음료도 못먹는.."
  권택민,"저는 훈련소때 소주가 너무 먹고싶어서 소주 마시는 꿈을 꾸다가, 새벽에 깼더니 입에서 소주 맛이 감돌았던 기억이 나네요ㅎㅎㅎㅎㅎ 첫 외박을 나와서 마셨던 소주 첫잔이 개인적으로 인생에서 제일 달았던 한 잔이었습니다"
  곽두팔,낙준쌤 왤케 잘생기셨나요 ... 가면 갈수록 외모가 빛을 발하심 ....... 지금 헤어 너무 찰떡인 것 같아요 ㄹㅇ
  Sc K,유전자에 의한 차이로 최대 1000배까지라니!!새로운 지식을 알아갑니다~초록병 소주가 쓴 이유는싸구려 주정을 사용하는데 이게 쓴 맛을 내기 때문이고쓴맛을 저감하려 감미료를 적절히 섞어 출하합니다그래서 체질에 따라쓰게도 느끼고 반대로 달게도 느끼는 듯 합니다^^
  J Hermit,"예전에 지인 한 분이 알려주셨어요. 진로 소주는 공장이 경기와 충북 두 곳이 있는데, 경기에서 만든 게 달고, 충북 제품은 쓰다고.  (구체적인 이유는 모릅니다.)제가 술을 잘 안마시고, 지금은 워낙 제품이 다양해져서 모르겠지만, 참이슬에 한정하면 맞았던 기억이 있습니다."
  와배고파,오 맞는거같아요 저 커피 맛없어서 라떼도 시럽을 안넣으면 안먹거든요.... 상추도 맨날 써요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 야채들은 수분이 부족해서 쓴맛나는건줄 알았는데 이럴수도 있겠네요...전 오이도 써서
  Poshh,먹는 날마다 실제로 맛이 조금 다르다고 느끼는건 몸 상태랑 연관이 있을까요?
  서야,소주는괜찮은데 맥주만마시면 마시다가도 머리가아픈데 그 이유에대한것도 해주세요~!
  이승준,"역사 컨텐츠가 낳은 괴물 ㅋㅋㅋㅋㅋㅋㅋ그런데 소주맛이 쓴 이유는 술의 품질이 안좋아서 그래요 잘 만든 보드카는 알코올 특유의 역한 맛이 많이 사라집니다"
  고르도,평소에는 소주를 써서 안 마십니다. 그런데 면접 등 긴장을 엄청한 날 어쩌다 소주를 마시면 단 맛이 엄청 느껴져서 잘 넘어가는데 똑같은 소주인데도 맛이 다르게 느껴지는지 궁금하네요
  혁은,좋은 사람들이랑 모여서 소주 외에도 술 마시는 건 그 자리를 망치는 거라 생각을 해서 저도 공감 합니다ㅋㅋㅋㅋ 왜 맛없는 술 마시고 취하나. 이미 좋은 사람들이랑 있는 것만으로 취한듯 기분 좋은데
  도토리,원래 소주는 단게 맞고(감미료 때문에) 쓰게 느껴진다면 그 소주가 들어온지 좀 오래되서 그렇다고 하더군요...침착되면 맛이 좀 변한다고 했던가..
  귀여워최고야,제가 초등학생때 매운음식을 먹고 실수로 소주를 물잔으로 반컵을 마셨는데요 정말 달더라고요..... 저는 그냥 물 마신줄 알았을 정도로 달았습니다.  근데 성인이된 지금은 술이 쓰게 느껴집니다. 매운음식으로 인해 혀가 살짝 맛이 갔었나봐요 ㅎㅎ
  유재훈,희석소주말고 증류소주를 마셔보면 다르게 느끼실수도 있어요 저도 희석소주는 역하고 맛없어서 못마시는데 증류주나 위스키 이런거는 마시기 좋더라고요
  호야아빠,"진짜 사회생활 처음할 때 술맛이 쓰면 고생을 덜한 거라는 이야기 듣고, 이건 모지린가? 싶었다."
  김사과,소주는 어릴 땐 잘 먹었는데 몸에서 안 받아서 나이가 들면서 점점 못마시게 되면서 멀리하게 되고 어릴 때 양주는 쓰고 알콜 농도가 쎄서 못 마시던게 지금은 괜찮던데..
  이한경,"커피(쓴거), 술도 써서 안먹는데 오이는 딱히 그렇게 막 쓰다라고 느껴지진 않는데 이거도 유전자랑 관련 있으려나요? ㅎㅎ"
  iD. COCOA,근데 확실히 몸의 컨디션에 따라 다른것같네요 몸이 좀 지칠때는 달게 느껴지는데 컨디션 좋을때는 엄청 쓰게 느껴져요 ㅎㅎ
  Sujeung Yun,"정서적 상태에 따라 첫잔이 단 날은 과음해서 취하고, 쓴 날은 덜 취하더라고요.근데 희석 소주는 첨가물 잡미 때문에 맛이 별로예요. 전통 증류 소주에 맛들이고 나면 못먹어요."
  Joonhyun Jeong,"저는 아는 형이랑 신논현역 근처에 있는 부대찌개 집에서 마셨던 소주가 엄청 달았었던 적 빼고는 술은 기본적으로 써서 못 마시네요 ㅋㅋ 지금은 프리랜서 라서 남들 눈치보며 술 마실 일이 없어서 술 마시고 싶을때는 달콤한 술만 골라서 마셔요 ㅋㅋ (스위트 레드 와인, 아이스 와인) 지금도 스위트 레드 와인 마시면서 댓글 다네요 ㅋㅋ"
